=== OVERNIGHT BATCH JOB ===
Target: 400 functions
Context: 16384 tokens (16K)

Loading disassembly...
Finding all functions...
Found 752 total functions
Checking already processed...
Already processed: 395 functions
Remaining unprocessed: 382 functions
Will process: 382 functions

[322/382] Decompiling 80102988 (183/hr, ETA: 0.3h)...
[323/382] Decompiling 80102F30 (183/hr, ETA: 0.3h)...
[324/382] Decompiling 80103D28 (183/hr, ETA: 0.3h)...
[325/382] Decompiling 80104704 (183/hr, ETA: 0.3h)...
  Progress saved (325/382)
[326/382] Decompiling 80104B14 (183/hr, ETA: 0.3h)...
[327/382] Decompiling 80105480 (183/hr, ETA: 0.3h)...
[328/382] Decompiling 80105B74 (183/hr, ETA: 0.3h)...
[329/382] Decompiling 80105DB0 (183/hr, ETA: 0.3h)...
[330/382] Decompiling 80105EA8 (183/hr, ETA: 0.3h)...
[331/382] Decompiling 80106874 (184/hr, ETA: 0.3h)...
[332/382] Decompiling 80106B3C (184/hr, ETA: 0.3h)...
[333/382] Decompiling 80106D94 (184/hr, ETA: 0.3h)...
[334/382] Decompiling 801073D8 (184/hr, ETA: 0.3h)...
[335/382] Decompiling 8010761C (184/hr, ETA: 0.3h)...
[336/382] Decompiling 80107AF4 (184/hr, ETA: 0.3h)...
[337/382] Decompiling 80107EDC (184/hr, ETA: 0.3h)...
[338/382] Decompiling 80108154 (184/hr, ETA: 0.2h)...
[339/382] Decompiling 801084D4 (184/hr, ETA: 0.2h)...
[340/382] Decompiling 80108AB0 (184/hr, ETA: 0.2h)...
[341/382] Decompiling 80108DA8 (180/hr, ETA: 0.2h)...
[342/382] Decompiling 80108F40 (180/hr, ETA: 0.2h)...
[343/382] Decompiling 80109468 (180/hr, ETA: 0.2h)...
[344/382] Decompiling 80109A60 (180/hr, ETA: 0.2h)...
[345/382] Decompiling 80109F5C (180/hr, ETA: 0.2h)...
[346/382] Decompiling 8010A53C (180/hr, ETA: 0.2h)...
[347/382] Decompiling 8010A7AC (180/hr, ETA: 0.2h)...
[348/382] Decompiling 8010A8D0 (180/hr, ETA: 0.2h)...
[349/382] Decompiling 8010AEAC (180/hr, ETA: 0.2h)...
[350/382] Decompiling 8010B528 (180/hr, ETA: 0.2h)...
  Progress saved (350/382)
[351/382] Decompiling 8010B560 (180/hr, ETA: 0.2h)...
[352/382] Decompiling 8010B5D0 (181/hr, ETA: 0.2h)...
[353/382] Decompiling 8010B7FC (181/hr, ETA: 0.2h)...
[354/382] Decompiling 8010B9C8 (181/hr, ETA: 0.2h)...
[355/382] Decompiling 8010BC84 (181/hr, ETA: 0.2h)...
[356/382] Decompiling 8010C02C (182/hr, ETA: 0.1h)...
[357/382] Decompiling 8010C450 (182/hr, ETA: 0.1h)...
[358/382] Decompiling 8010C590 (182/hr, ETA: 0.1h)...
[359/382] Decompiling 8010C6D0 (182/hr, ETA: 0.1h)...
[360/382] Decompiling 8010C7F4 (182/hr, ETA: 0.1h)...
[361/382] Decompiling 8010C974 (182/hr, ETA: 0.1h)...
[362/382] Decompiling 8010D3C0 (182/hr, ETA: 0.1h)...
[363/382] Decompiling 8010D680 (183/hr, ETA: 0.1h)...
[364/382] Decompiling 8010D85C (183/hr, ETA: 0.1h)...
[365/382] Decompiling 8010D9CC (183/hr, ETA: 0.1h)...
[366/382] Decompiling 8010DAF8 (183/hr, ETA: 0.1h)...
[367/382] Decompiling 8010DBB8 (183/hr, ETA: 0.1h)...
[368/382] Decompiling 8010DCFC (179/hr, ETA: 0.1h)...
[369/382] Decompiling 8010DF90 (179/hr, ETA: 0.1h)...
[370/382] Decompiling 8010E0FC (179/hr, ETA: 0.1h)...
[371/382] Decompiling 8010E4EC (179/hr, ETA: 0.1h)...
[372/382] Decompiling 8010E69C (176/hr, ETA: 0.1h)...
[373/382] Decompiling 8010E72C (176/hr, ETA: 0.1h)...
[374/382] Decompiling 8010E828 (176/hr, ETA: 0.1h)...
[375/382] Decompiling 8010E8B4 (176/hr, ETA: 0.0h)...
  Progress saved (375/382)
[376/382] Decompiling 8010EA14 (176/hr, ETA: 0.0h)...
[377/382] Decompiling 8010F218 (176/hr, ETA: 0.0h)...
[378/382] Decompiling 8010FBB4 (176/hr, ETA: 0.0h)...
[379/382] Decompiling 8010FBF4 (176/hr, ETA: 0.0h)...
